0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:05 +0900] "GET /TestWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:05 +0900] "GET /TestWeb/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:21 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:21 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:21 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:21 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:22 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:38 +0900] "POST /TestWeb/user/join_ok.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:39 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:39 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:39 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:39 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:39 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:43 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:49 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:49 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:49 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:49 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:49 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:54 +0900] "GET /TestWeb/user/delete.jsp HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:54 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:54 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:54 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:58 +0900] "POST /TestWeb/user/delete_ok.jsp HTTP/1.1" 200 132
